London	0.16	51.5	0.015	20.0
Tokyo	139.75	35.67	0.015	20.0
New York	-73.95	40.8	0.015	20.0
Cairo	31.15	29.58	0.015	20.0
Sydney	151.20	-33.9	0.015	20.0
Buenos Aires	-58.35	-34.58	0.015	20.0
Paris	2.3	48.8	0.030	20.0
Los Angeles	-118.45	33.95	0.030	20.0
Moscow	37.72	55.75	0.030	20.0
Calgary	-114.017	51.1	0.050	20.0
Baghdad	44.4	33.3	0.050	20.0
Denver	-105.039	39.6516	0.050	20.0
San Diego	-117.12	32.71	0.050	20.0
Washington	-77.46	38.95	0.05	20.0
Portland	-122.60	45.59	0.05	20.0
San Francisco	-122.45	37.8	0.05	20.0
Montreal	-73.75	45.48	0.05	20.0
Toronto	-79.6	43.7	0.05	20.0
Canberra	149.13	-35.3	0.10	20.0
Edmonton	-113.51	53.55	0.10	20.0
San Jose	-121.93	37.36	0.10	20.0
Vancouver	-123.17	49.18	0.10	20.0
Brussels	4.36	50.85	0.10	20.0
Ithaca	-76.47	42.48	0.10	20.0
Aurora	-104.72	39.7	0.15	20.0
Goldendale	-120.84	45.83	0.15	20.0
Rossmoor	-118.08	33.79	0.15	20.0
Mountain View	-122.0910	37.3883	0.50	20.0
Zaventem	4.47	50.88	1.00	20.0
